blocks-iam	AuthenticationController	POST	signup	/api/auth/signup	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.signup
blocks-iam	AuthenticationController	GET	login-options	/api/auth/login-options	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.login-options
blocks-iam	AuthenticationController	POST	login	/api/auth/login	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.login
blocks-iam	AuthenticationController	POST	recover	/api/auth/recover	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.recover
blocks-iam	AuthenticationController	POST	reset-password	/api/auth/reset-password	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.reset-password
blocks-iam	AuthenticationController	POST	change-password	/api/auth/change-password	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.change-password
blocks-iam	AuthenticationController	POST	activate	/api/auth/activate	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.activate
blocks-iam	AuthenticationController	POST	resend-activation	/api/auth/resend-activation	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.resend-activation
blocks-iam	AuthenticationController	POST	validate-activation	/api/auth/validate-activation	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.validate-activation
blocks-iam	AuthenticationController	GET	social/initiate	/api/auth/social/initiate	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.social/initiate
blocks-iam	AuthenticationController	POST	social/callback	/api/auth/social/callback	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.social/callback
blocks-iam	AuthenticationController	POST	refresh	/api/auth/refresh	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.refresh
blocks-iam	AuthenticationController	POST	logout	/api/auth/logout	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.logout
blocks-iam	AuthenticationController	POST	switch-org	/api/auth/switch-org	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.switch-org
blocks-iam	AuthenticationController	POST	impersonate	/api/auth/impersonate	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.impersonate
blocks-iam	AuthenticationController	POST	impersonation/stop	/api/auth/impersonation/stop	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.impersonation/stop
blocks-iam	AuthenticationController	POST	impersonation/status	/api/auth/impersonation/status	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.impersonation/status
blocks-iam	AuthenticationController	POST	logout-all	/api/auth/logout-all	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.logout-all
blocks-iam	AuthenticationController	GET	me	/api/auth/me	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.me
blocks-iam	AuthenticationController	POST	identity-providers	/api/auth/identity-providers	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.identity-providers
blocks-iam	AuthenticationController	GET	identity-providers	/api/auth/identity-providers	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthenticationController.cs	Authentication.identity-providers
